occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
49-9043,"Maintenance workers, machinery",,         83220,       1.9,         16.96,         35270,           0.6,         10.06,         12.57,         16.18,         20.77,         25.56,         20930,         26150,         33650,         43190,         53170,,
49-9044,Millwrights,,         53080,       2.7,         22.33,         46450,           0.9,         13.71,         16.97,         21.53,         28.22,         32.87,         28510,         35290,         44780,         58700,         68370,,
49-9045,"Refractory materials repairers, except brickmasons",,          3250,      12.2,         19.74,         41070,           2.3,         12.78,         15.90,         19.35,         23.09,         27.90,         26580,         33060,         40240,         48020,         58020,,
49-9051,Electrical power-line installers and repairers,,        106060,       2.1,         23.65,         49200,           0.6,         14.00,         18.84,         24.11,         28.25,         33.24,         29130,         39190,         50150,         58750,         69140,,
49-9052,Telecommunications line installers and repairers,,        142560,       2.1,         20.66,         42970,           0.6,         11.35,         14.70,         20.39,         26.58,         31.47,         23610,         30580,         42410,         55280,         65450,,
49-9061,Camera and photographic equipment repairers,,          3160,       8.9,         17.37,         36130,           2.1,          9.52,         13.97,         16.78,         20.25,         25.78,         19790,         29060,         34900,         42110,         53610,,
49-9062,Medical equipment repairers,,         27940,       4.2,         20.04,         41680,           1.7,         11.00,         14.29,         19.02,         24.76,         30.19,         22880,         29730,         39570,         51500,         62790,,
49-9063,Musical instrument repairers and tuners,,          4830,       6.4,         15.33,         31880,           2.3,          8.07,         10.66,         13.73,         19.50,         24.94,         16790,         22160,         28560,         40560,         51880,,
49-9064,Watch repairers,,          3080,      14.5,         16.00,         33280,           3.1,          8.32,         11.27,         15.21,         19.76,         24.64,         17310,         23440,         31640,         41100,         51250,,
49-9069,"Precision instrument and equipment repairers, all other",,         12870,       5.8,         22.11,         45980,           2.0,         12.03,         16.04,         21.37,         27.37,         33.52,         25020,         33370,         44460,         56940,         69720,,
49-9091,"Coin, vending, and amusement machine servicers and repairers",,         39570,       2.6,         14.11,         29340,           0.7,          8.70,         10.62,         13.56,         16.86,         21.01,         18100,         22090,         28200,         35060,         43710,,
49-9092,Commercial divers,,          2310,      15.5,         20.15,         41910,           4.2,         11.58,         14.33,         18.25,         23.69,         31.26,         24080,         29800,         37960,         49280,         65020,,
