CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,19567,45688,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Bachelor's Degree,2019,24242,50394,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Bachelor's Degree,2020,21423,,,,,,
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24641,,75067,71214,41132,116610,394320
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,24276,30634,75863,72262,41033,118275,407380
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,23738,33532,77075,73290,41160,120728,420100
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,23451,35298,70264,71088,39091,107739,492980
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21730,,71426,72699,39431,110434,512680
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24688,,72185,71578,38213,112616,2211000
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,23301,31253,74004,73524,39095,115197,2267900
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,25074,36323,75625,75540,39883,118529,2334260
0302,Bioenergy.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,24839,34169,74327,67250,39775,116157,1905910
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,24792,,76485,70355,40704,114541,1861550
0303,Fishing and Fisheries Sciences and Management.,Bachelor's Degree,2016,27571,,48820,48820,26570,76270,19550
0303,Fishing and Fisheries Sciences and Management.,Associate's Degree|Bachelor's Degree,2017,23493,24800,50160,50160,27510,77710,20750
0303,Fishing and Fisheries Sciences and Management.,Associate's Degree|Bachelor's Degree,2018,25097,29665,50790,50790,28420,78920,21800
0303,Fishing and Fisheries Sciences and Management.,Bachelor's Degree,2019,28875,28286,52520,52520,30130,80950,22560
0303,Fishing and Fisheries Sciences and Management.,Bachelor's Degree,2020,28066,,54420,54420,31730,83090,22640
0305,Forest Management/Forest Resources Management.,Associate's Degree|Bachelor's Degree,2016,22732,,59186,55394,33886,89722,57360
0305,Forest Management/Forest Resources Management.,Associate's Degree|Bachelor's Degree,2017,22076,32733,60248,56348,34128,91274,60170
0305,Forest Management/Forest Resources Management.,Associate's Degree|Bachelor's Degree,2018,23020,38373,60626,56706,34710,91802,61990
0305,Forest Management/Forest Resources Management.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,20636,37859,58737,55339,35017,86047,81730
0305,Forest Management/Forest Resources Management.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21707,,59693,54407,35892,88403,92120
0306,"Wildlife, Fish and Wildlands Science and Management.",Associate's Degree|Bachelor's Degree,2016,20457,,73500,66134,41270,113110,39940
0306,"Wildlife, Fish and Wildlands Science and Management.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20163,23350,74767,66802,40540,114977,41750
0306,"Wildlife, Fish and Wildlands Science and Management.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,21002,26242,75210,67692,40710,115943,42130
0306,"Wildlife, Fish and Wildlands Science and Management.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,22660,26626,75060,68093,42453,112930,43090
0306,"Wildlife, Fish and Wildlands Science and Management.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21121,,77317,70490,43823,116993,40680
0399,"Natural Resources and Conservation, Other.",Bachelor's Degree,2016,22261,,90480,90480,47390,144820,1750
0399,"Natural Resources and Conservation, Other.",Bachelor's Degree,2017,23704,19900,93200,93200,48260,147740,2000
0399,"Natural Resources and Conservation, Other.",Bachelor's Degree,2018,24897,27860,92550,92550,47820,146550,2070
0399,"Natural Resources and Conservation, Other.",Bachelor's Degree,2019,24511,27471,90940,90940,49210,138950,1770
0402,Architectural Design.,Bachelor's Degree,2016,25465,,107077,121787,58240,165810,285620
0402,Architectural Design.,Associate's Degree|Bachelor's Degree,2017,24826,41236,108263,124028,59330,143575,290380
0402,Architectural Design.,Associate's Degree|Bachelor's Degree,2018,23153,41747,112383,126886,60060,156210,299530
0402,Architectural Design.,Associate's Degree|Bachelor's Degree,2019,22572,42569,113823,129880,61403,156505,306880
0402,Architectural Design.,Bachelor's Degree,2020,24884,,116130,133561,63740,157310,306710
0403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,2016,22762,,98942,128426,52350,159940,233890
0403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,2017,21746,34771,97672,129324,49238,141707,239160
0403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,2018,22092,43795,103120,132328,52172,155657,250680
0403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,2019,23979,43032,103762,135765,53060,152197,256420
0403,"City/Urban, Community, and Regional Planning.",Bachelor's Degree,2020,23221,,106000,140015,55250,154127,258620
0404,"Environmental Design, Other.",Bachelor's Degree,2016,23142,,86555,105985,47350,133457,393010
0404,"Environmental Design, Other.",Bachelor's Degree,2017,25183,45233,88038,107919,48398,119514,400800
0404,"Environmental Design, Other.",Bachelor's Degree,2018,22669,41841,90945,110458,49340,126812,413100
0404,"Environmental Design, Other.",Bachelor's Degree,2019,20943,36209,92363,112707,50725,127610,426370
0404,"Environmental Design, Other.",Associate's Degree|Bachelor's Degree,2020,19538,,94107,115805,52262,129296,424800
0405,Interior Architecture.,Bachelor's Degree,2016,25820,,97660,122795,51460,152950,238920
0405,Interior Architecture.,Bachelor's Degree,2017,26204,38975,98500,124341,52583,123160,243340
0405,Interior Architecture.,Bachelor's Degree,2018,27560,41400,102470,127287,54043,134215,252240
0405,Interior Architecture.,Bachelor's Degree,2019,22810,42471,104300,130223,55827,135930,261680
0405,Interior Architecture.,Bachelor's Degree,2020,19336,,106773,134749,58097,138115,261980
